decile,count,sum,min_probability,max_probability,percentage,gain
0,2000,1608,0.7253430950044244,0.9755187730893663,16.222760290556902,1.62227602905569
1,2000,1378,0.6516677399061505,0.7251953528027042,13.902340597255852,1.5062550443906377
2,2000,1211,0.5976625934617918,0.6516609326755742,12.217514124293785,1.4114205004035514
3,2000,1160,0.5492932448191956,0.597640418729899,11.702986279257466,1.3511400322841
4,2000,1030,0.5010650921883217,0.549260580828004,10.391444713478611,1.2887409200968523
5,2000,958,0.4535314965503118,0.501025978919026,9.665052461662631,1.2350349744417541
6,2000,867,0.40105201785862526,0.4535118210997186,8.746973365617434,1.183558169030324
7,2000,730,0.3381325907514775,0.40101161149813025,7.364810330912026,1.1276735270379337
8,2000,613,0.25332964929382806,0.33813179127621296,6.184422921711057,1.0710922787193973
9,2000,357,0.033547391889513924,0.25329213051147836,3.6016949152542375,1.0
